a	b	v1~va
4	4	0	2	77	139	
4	4	0	10	75	137	
4	4	0	12	77	139	
4	4	0	19	65	127	
4	4	0	21	65	127	
4	4	0	29	75	137	
4	4	0	32	36	93	
4	4	0	32	56	93	
4	4	0	36	56	93	
4	4	0	62	97	100	
4	4	0	62	97	113	
4	4	0	62	100	113	
4	4	1	3	78	140	
4	4	1	11	76	138	
4	4	1	13	78	140	
4	4	1	20	66	128	
4	4	1	22	66	128	
4	4	1	30	76	138	
4	4	1	33	37	94	
4	4	1	33	57	94	
4	4	1	37	57	94	
4	4	1	63	98	101	
4	4	1	63	98	114	
4	4	1	63	101	114	
4	4	2	4	79	141	
4	4	2	12	77	139	
4	4	2	14	79	141	
4	4	2	21	67	129	
4	4	2	23	67	129	
4	4	2	34	38	95	
4	4	2	34	58	95	
4	4	2	38	58	95	
4	4	2	64	99	102	
4	4	2	64	99	115	
4	4	2	64	102	115	
4	4	3	5	80	142	
4	4	3	13	78	140	
4	4	3	15	80	142	
4	4	3	22	68	130	
4	4	3	24	68	130	
4	4	3	35	39	96	
4	4	3	35	59	96	
4	4	3	39	59	96	
4	4	3	65	100	103	
4	4	3	65	100	116	
4	4	3	65	103	116	
4	4	4	6	81	143	
4	4	4	14	79	141	
4	4	4	16	81	143	
4	4	4	23	69	131	
4	4	4	25	69	131	
4	4	4	36	40	97	
4	4	4	36	60	97	
4	4	4	40	60	97	
4	4	4	66	101	104	
4	4	4	66	101	117	
4	4	4	66	104	117	
4	4	5	7	82	144	
4	4	5	15	80	142	
4	4	5	17	82	144	
4	4	5	24	70	132	
4	4	5	26	70	132	
4	4	5	37	41	98	
4	4	5	37	61	98	
4	4	5	41	61	98	
4	4	5	67	102	105	
4	4	5	67	102	118	
4	4	5	67	105	118	
4	4	6	8	83	145	
4	4	6	16	81	143	
4	4	6	18	83	145	
4	4	6	25	71	133	
4	4	6	27	71	133	
4	4	6	31	38	99	
4	4	6	31	42	99	
4	4	6	38	42	99	
4	4	6	68	103	106	
4	4	6	68	103	119	
4	4	6	68	106	119	
4	4	7	9	84	146	
4	4	7	17	82	144	
4	4	7	19	84	146	
4	4	7	26	72	134	
4	4	7	28	72	134	
4	4	7	32	39	100	
4	4	7	32	43	100	
4	4	7	39	43	100	
4	4	7	69	104	107	
4	4	7	69	104	120	
4	4	7	69	107	120	
4	4	8	10	85	147	
4	4	8	18	83	145	
4	4	8	20	85	147	
4	4	8	27	73	135	
4	4	8	29	73	135	
4	4	8	33	40	101	
4	4	8	33	44	101	
4	4	8	40	44	101	
4	4	8	70	105	108	
4	4	8	70	105	121	
4	4	8	70	108	121	
4	4	9	11	86	148	
4	4	9	19	84	146	
4	4	9	21	86	148	
4	4	9	28	74	136	
4	4	9	30	74	136	
4	4	9	34	41	102	
4	4	9	34	45	102	
4	4	9	41	45	102	
4	4	9	71	106	109	
4	4	9	71	106	122	
4	4	9	71	109	122	
4	4	10	12	87	149	
4	4	10	20	85	147	
4	4	10	22	87	149	
4	4	10	29	75	137	
4	4	10	35	42	103	
4	4	10	35	46	103	
4	4	10	42	46	103	
4	4	10	72	107	110	
4	4	10	72	107	123	
4	4	10	72	110	123	
4	4	11	13	88	150	
4	4	11	21	86	148	
4	4	11	23	88	150	
4	4	11	30	76	138	
4	4	11	36	43	104	
4	4	11	36	47	104	
4	4	11	43	47	104	
4	4	11	73	93	108	
4	4	11	73	93	111	
4	4	11	73	108	111	
4	4	12	14	89	151	
